filename,width,height,class,xmin,ymin,xmax,ymax
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1547,2491,1574,2515
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1982,1692,2009,1718
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,2327,1090,2352,1113
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,841,985,866,1008
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1054,1453,1080,1477
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,860,813,882,836
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,668,1177,694,1202
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,2058,953,2083,976
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1381,1216,1407,1240
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1528,1782,1551,1806
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1913,1467,1940,1491
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,714,1879,740,1902
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1564,1185,1587,1211
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,324,1087,350,1113
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1624,1574,1649,1599
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1141,1350,1167,1374
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1600,855,1625,880
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,2158,1618,2184,1644
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,2228,1023,2252,1046
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1433,1227,1459,1251
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1469,1360,1496,1385
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,318,1302,343,1328
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,2333,842,2358,866
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1569,834,1599,861
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1673,725,1698,749
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1482,1135,1510,1160
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1403,714,1430,739
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,846,1210,872,1235
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1167,1021,1192,1045
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1002,955,1028,979
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,2142,986,2167,1011
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1425,886,1452,909
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1691,1032,1716,1055
scan108_010719110.jpg_2_1.jpg,2900,2900,seed,1412,515,1437,538
