,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10
159,3,3,2,5,4,2,4,3,1,4
350,1,5,2,5,5,5,5,5,4,3
403,4,3,3,2,3,5,2,5,2,2
424,3,3,4,5,5,2,2,4,5,5
428,3,5,3,1,1,4,3,2,5,4
630,1,5,1,4,3,3,4,3,4,5
768,3,3,4,1,4,1,5,5,2,5
801,1,3,1,1,1,2,3,3,4,2
915,2,4,4,1,4,5,1,4,2,4
1002,4,1,5,2,5,2,1,5,5,5
1829,5,3,2,2,2,2,4,5,3,3
1925,3,2,4,3,3,4,2,3,4,3
1954,4,3,5,1,2,1,1,3,2,3
2171,1,4,4,4,2,1,2,3,4,4
2202,5,3,3,5,2,1,1,5,4,2
2276,5,4,2,3,1,2,1,5,4,5
4807,1,3,4,3,1,2,4,2,4,4
4826,2,2,2,3,2,3,1,3,4,4
4958,5,2,1,5,2,3,3,3,4,3
5023,5,3,2,4,3,3,2,5,5,1
5104,2,2,2,1,2,2,4,5,3,3
5210,3,2,1,2,1,2,3,5,2,2
5349,3,1,1,3,3,5,3,2,5,3
5486,1,5,4,1,2,5,3,1,2,3
5644,3,1,2,5,1,3,3,3,5,1
5720,2,5,1,4,3,4,5,3,4,1
5726,2,2,5,2,1,2,1,1,3,1
5741,3,3,5,2,2,5,5,4,5,5
5779,5,5,5,1,2,3,2,5,4,1
5784,3,2,3,1,5,1,5,2,2,5
5811,4,3,1,3,2,4,3,1,3,3
5874,2,4,5,1,3,1,2,4,2,2
5921,3,4,1,2,3,4,1,5,3,3
5950,2,4,4,4,3,1,5,2,4,5
5984,5,5,3,5,1,5,5,3,5,3
5993,4,5,1,4,2,1,2,5,2,4
6008,2,1,2,2,2,2,5,3,2,4
6086,2,2,2,5,4,2,2,4,1,4
6111,3,4,5,1,1,3,3,2,4,1
6140,4,4,3,5,4,1,2,3,5,1
6390,3,2,2,5,4,2,4,3,5,4
6434,3,2,1,5,2,4,5,5,4,3
6445,4,4,3,4,1,5,3,4,5,3
6680,1,1,2,2,3,3,2,3,2,1
6744,2,5,5,5,4,1,1,1,5,2
6909,5,4,2,5,2,5,4,1,1,2
6970,3,3,1,3,3,5,2,3,3,4
6989,4,3,3,3,3,2,1,3,1,3
6992,1,5,4,1,5,3,2,1,3,3
7013,3,1,3,5,4,5,4,4,4,3
7028,4,1,2,4,3,5,2,1,5,5
7058,5,3,3,1,1,3,5,5,3,3
7067,3,4,5,3,2,3,1,5,5,2
7106,3,2,1,5,1,2,1,4,2,2
7119,2,3,3,1,1,4,4,5,2,3
7169,4,1,4,4,1,5,5,5,5,2
7186,4,1,4,1,2,2,3,5,1,4
7202,5,5,5,4,4,5,5,3,4,3
7231,2,5,2,5,2,5,4,3,3,5
7250,1,4,2,5,1,5,2,4,4,3
7282,3,4,1,5,5,1,3,3,2,1
7288,5,2,3,5,3,3,5,2,1,2
7296,4,2,1,3,3,4,1,5,3,1
7316,1,5,3,5,4,5,3,2,3,2
7322,1,1,2,5,5,5,5,3,1,4
7328,5,5,1,4,2,3,4,3,5,1
7350,3,4,2,1,1,3,2,1,3,1
7353,1,1,1,3,1,1,3,4,1,2
7354,1,3,4,1,3,3,4,2,3,5
7372,5,2,5,2,3,2,4,1,1,4
7373,3,5,4,3,1,4,1,2,5,5
7377,2,1,4,2,5,3,3,5,2,2
7396,2,1,2,4,2,4,4,2,3,4
7404,1,5,3,2,1,1,5,1,2,3
7413,2,2,2,2,4,2,4,1,4,4
7418,1,3,5,3,3,4,5,3,3,4
7427,3,3,4,5,5,1,1,5,1,3
7477,1,1,3,1,5,2,2,1,3,4
7917,2,5,2,2,2,2,1,1,5,2
8132,5,1,3,2,3,5,1,5,1,4
8235,3,5,3,1,1,4,2,4,4,3
8236,2,1,4,5,4,4,2,2,3,3
8244,4,1,2,1,1,3,1,4,1,3
8247,1,3,4,3,4,1,5,1,2,4
8284,2,1,1,4,5,5,5,5,4,2
8290,1,5,4,1,5,4,1,4,1,1
8297,2,1,1,1,3,4,2,3,5,4
8334,3,4,5,4,3,3,5,4,4,4
8337,2,1,1,5,4,3,1,4,3,1
8351,1,4,5,5,2,3,1,3,1,1
8365,3,2,3,1,2,3,2,2,2,5
8386,3,1,4,1,4,4,1,5,2,4
8419,1,5,3,1,1,1,2,4,4,3
8424,1,5,2,5,3,2,2,2,2,1
9075,2,3,1,4,3,1,3,1,4,1
9078,3,2,5,4,1,2,5,3,5,3
9095,5,2,3,2,5,2,5,4,1,4
9102,4,2,3,4,5,3,2,1,4,1
9105,4,2,1,2,5,2,2,4,3,4
9106,2,2,4,1,5,3,5,5,2,4
9113,1,3,4,3,3,5,3,3,4,2
9128,5,5,2,5,4,3,4,2,3,3
9133,2,5,5,4,1,1,5,3,3,4
9134,4,5,1,4,1,3,3,2,2,2
9298,5,2,2,3,2,5,1,2,1,2
9314,2,1,3,2,4,1,5,1,4,1
9386,4,3,3,2,1,1,4,2,1,3
9405,2,4,4,1,2,4,4,3,4,2
9503,5,3,3,1,3,4,2,2,2,3
9506,5,3,1,4,4,5,5,3,1,2
9507,1,4,2,3,1,3,4,4,4,3
9509,4,3,4,1,1,1,3,1,1,3
9511,5,2,2,4,3,1,2,5,5,3
9512,1,5,3,1,5,4,4,4,5,4
9515,2,3,3,3,4,3,3,1,3,3
9517,3,3,4,4,5,4,4,3,5,5
9519,4,2,5,2,4,3,2,1,4,2
9521,2,2,1,5,3,1,3,2,2,2
9523,1,2,2,4,5,2,4,2,2,3
9524,5,4,5,2,4,5,4,2,3,2
9526,3,4,2,4,1,5,1,2,5,1
9527,5,1,5,2,2,3,1,4,2,2
9529,1,2,2,3,5,1,1,2,1,2
9530,4,1,4,2,3,3,2,4,2,4
9535,2,5,3,2,1,4,1,2,1,1
9542,1,2,3,4,5,2,4,5,3,5
9543,2,5,1,5,1,5,3,4,4,2
9545,3,5,4,2,3,1,4,4,1,3
9549,2,4,1,5,4,1,5,4,3,1
9558,5,3,3,3,3,5,1,3,2,4
9560,3,1,5,2,2,1,3,5,3,2
9567,5,1,4,2,5,1,1,5,2,4
9573,2,1,4,5,5,4,1,4,5,3
9576,5,5,2,4,1,2,1,1,1,5
9582,1,3,4,3,2,4,3,5,2,4
9590,2,2,3,3,4,2,5,5,4,5
9591,3,4,3,2,2,1,3,2,2,3
9593,4,5,1,1,2,2,4,3,1,4
9597,3,4,2,3,2,5,5,4,4,3
9598,1,4,1,5,1,2,2,4,3,4
9599,3,4,4,2,3,3,3,3,3,3
9600,5,2,1,1,2,1,4,2,5,5
9606,2,2,4,5,1,4,1,5,5,5
9608,5,3,4,5,5,2,4,5,4,4
9610,1,2,1,1,3,2,3,4,5,1
9611,4,5,2,3,4,4,2,3,1,5
9613,1,4,3,4,5,2,3,5,1,5
9615,4,1,1,3,1,1,1,1,2,2
9617,2,2,4,5,3,4,3,1,1,1
9619,1,2,5,4,5,2,3,5,1,4
9621,4,4,5,1,4,5,2,5,2,5
9622,2,3,2,2,3,4,1,5,1,2
9628,2,4,5,5,3,4,1,1,2,5
9630,1,4,4,1,3,2,4,5,4,1
9632,3,2,2,5,5,3,3,4,2,5
9637,3,5,2,4,5,4,3,2,5,2
9639,4,1,4,4,4,5,2,4,2,5
9640,3,3,3,5,4,3,5,4,2,3
9642,1,1,4,4,4,1,5,1,4,2
9644,1,2,3,5,4,4,5,5,4,5
9645,3,3,5,1,1,5,1,2,2,5
9647,5,3,5,5,2,5,4,2,3,4
9648,4,5,5,5,2,1,4,2,2,3
9649,5,2,2,2,4,3,4,1,1,5
9651,4,4,3,4,1,4,5,3,4,1
9653,1,5,5,2,3,1,2,1,4,5
9655,1,4,4,4,2,4,2,4,5,1
9656,1,5,1,2,3,2,4,1,2,2
9660,2,4,1,2,5,5,5,4,2,3
9661,4,1,5,5,4,1,5,1,3,4
9663,3,5,1,4,2,1,1,3,1,4
9684,4,2,2,1,4,2,3,2,4,2
9690,1,4,5,3,2,5,1,3,3,3
9693,2,5,2,5,3,2,1,5,4,5
9696,1,5,4,2,5,4,3,2,5,5
9698,1,3,5,4,3,2,1,3,3,4
9699,1,5,3,1,4,4,4,2,3,5
9701,3,5,3,3,3,1,4,5,5,5
9704,4,5,1,5,2,1,2,4,2,2
9705,2,4,5,1,4,5,5,1,1,5
9707,5,1,4,2,1,1,3,1,2,4
9714,4,5,3,2,2,4,5,2,4,2
9717,2,3,5,5,1,2,1,1,4,1
9720,1,2,1,4,2,1,5,1,1,5
9721,1,4,4,4,4,4,3,1,2,4
9725,3,3,5,1,1,2,5,2,5,4
9726,5,2,2,3,4,2,1,4,1,5
9727,1,3,2,3,1,1,5,2,1,1
