id	FT10_mean
9585	52.25
7471	56.25
8304	57
6898	57.5
8353	50.75
9571	56.5
9853	56.75
7424	57.75
9517	64
6979	54.75
8213	58.75
9801	62
7117	58
765	56.75
7103	62.25
7199	66.5
7460	75
5486	60.5
7282	62.5
7250	58
7217	56.5
7383	60.5
5253	62.75
6909	70.5
9760	55.75
9795	57.75
9996	61.33333333
7062	62.25
9788	62.5
9791	65.33333333
7013	63
5800	61.75
9816	63
763	65.75
9863	58.5
6940	64.25
7161	61.25
9766	57.75
8365	74
6960	55
7333	68.75
9660	53.25
7382	55.5
6434	62.75
7213	65.5
9512	51.25
7028	57.5
8426	62.75
9786	64.75
7206	65
7096	65.5
6932	63.5
5818	65.75
8472	63.5
9854	58.75
5104	60
7524	61.25
7202	63
9772	67
9606	63
7119	65.5
7123	70.75
7387	60.75
9803	63
6830	69.75
6180	71
7404	68.5
6923	57
8428	66.75
9865	93
9781	60
7263	61.75
6958	68.75
7394	56.75
9883	60
5748	60.75
7525	63
766	63.5
9995	64.25
5984	66.75
9790	66.75
9661	55.25
10019	60.5
6967	62.75
9823	63
7329	66.75
7192	68.75
7067	58.75
9789	65
7314	66
9810	69.25
7430	72.5
9931	57
8314	64
8239	56
7081	58.5
6943	60.75
10002	61
5778	66.25
9800	68.5
9941	70
7120	62.5
9792	62.75
7162	65
7125	69.25
9802	69.75
9934	56
6981	62.25
6042	63.5
9806	67
9807	67.5
9774	68
6008	73.5
10024	64
7094	67.25
7419	69
5236	58.5
9784	60.25
9727	61.25
9922	62.75
915	63.75
7332	64
9777	66.5
772	67.5
9910	70
7258	71
7165	71.5
5835	73
7268	65.75
7273	77
5023	61
6986	61.5
6243	66.75
10021	59.5
6939	61.25
7163	66.5
6982	78.5
9775	60
9771	62.5
8290	63.25
7077	54.5
9926	67
9782	63.25
6944	63.75
9911	66
7203	67.25
9794	69.25
6922	71
7106	76.5
7143	83
9779	63.25
9798	65.25
9769	66.5
9875	63.75
9770	67
9847	60
7071	64.25
9811	69.75
9608	58
9785	63.25
7209	63.5
7177	65.75
7415	72.25
8256	73.25
10022	73.5
7231	65.75
7098	58.5
7127	59.75
9298	60
10025	62.25
9813	65.75
7026	69
1435	72.25
6916	75
7109	60.75
9804	65.75
6926	66.25
9812	67.75
9780	72.25
9591	67
7244	68
5811	72
7208	73
9796	73.5
5644	60.75
7418	63.5
9998	68
7133	76
6973	77.25
9908	65.25
9797	69
7280	80.75
9507	55
9907	67.5
9936	71.75
6924	61.5
7347	64.75
9919	67.75
6296	75
6911	62.75
6744	63.25
265	63.5
6975	67.25
7031	78.25
7255	62
7236	73.5
7337	74.5
8420	74.75
7344	73.5
7158	63.33333333
9937	67
6987	69
6984	69.25
9657	58.5
4931	62.75
7413	69.25
9815	72.5
10020	72.5
5726	74
9921	64.5
7287	71
100000	71.66666667
9814	71.5
8387	74.25
6931	59.75
5907	66.5
9920	64
7461	68
7520	73.25
5772	66.75
8386	75
9933	76.75
7330	85.25
9778	71.5
7276	73.75
9787	70.5
10026	63
10001	68.75
6709	69
4884	70.25
9651	64
7207	70.25
5276	74.5
7186	75
7306	76.5
9900	53
9923	66.25
6445	67
9940	67
6970	62.5
4779	68.66666667
4900	71
6961	59
8378	66.25
9590	51.25
88	61.25
9799	66.25
7036	67.75
7107	67.25
7166	67.25
9913	81.5
4826	60
5577	66.75
7003	71.75
7063	72.25
9609	74.5
9515	56.25
9830	61.5
10015	69.75
7343	72
9809	74.75
7218	75
7328	56.25
7396	61.5
350	68.5
9916	68.75
9997	70.25
6041	78.75
7305	79.25
8285	66.5
9773	74.75
7322	76.5
8312	65.75
7378	71.25
7458	79.5
7350	80
108	70
7477	74
8238	79.5
9653	59.5
9893	60
7025	71.5
7147	74.5
7319	58.5
139	68.75
6108	78.75
7349	81.25
6985	65.5
9805	70.5
9808	75.25
6424	77
6959	71.75
7298	81.75
9544	57.25
9503	64
7327	64.5
6188	73.25
2317	77
5829	66.75
9862	67.5
9560	69.25
7411	66
7521	70.75
8334	74.75
7000	78
403	63.5
6992	68
7092	68
9999	72
9917	75.25
8395	75.75
7010	77
10000	61
9946	61.5
6933	63.75
8214	65
9994	78
6193	83
7372	83
7308	84.75
9768	74.5
7223	75.75
7373	81.25
9511	64.25
9647	67.75
9390	79.75
430	92.33333333
6966	62.25
9646	62.5
9914	74.75
5890	78.25
5837	80.5
9981	69.25
8357	71.75
9873	66.75
9510	59.25
9820	61.75
5921	82.5
7068	63.75
9537	64.25
9984	65.75
9965	70.5
6945	76.5
6997	81
9874	68.75
6903	81.5
9526	65
9725	61.25
9726	67
5964	72.5
6936	80.5
6189	74
159	72
6915	76.5
9924	66.5
8275	78.33333333
9886	85.75
9909	87
9864	63.25
6937	75.75
7514	80.25
9776	65.25
9312	75.25
10003	81.25
9968	66.75
8077	70
9719	72.5
9761	65.25
9899	70.75
8326	86.75
9759	61.5
9983	63
6191	78.33333333
8244	90.5
9843	62.75
9516	67.75
7346	78.25
9972	63
630	73.5
8354	82
8419	94.25
9654	62.25
9509	64.5
6908	66
6197	75.25
428	75.75
6951	79.5
7002	80.25
6195	83.75
9392	87.25
8311	65.5
7164	69.75
9578	75.25
9680	62.75
9879	68.5
9767	70
7377	75.75
8343	81.25
9104	60.75
9827	69.25
9573	70.25
9314	74.25
6907	72
6990	79
9522	59
9980	68.5
9508	62
9597	69.75
9939	75.25
9648	60
9128	69.5
9971	70.5
9956	72.75
9596	73
6989	78.25
10007	75
6390	71.75
9541	68.5
9943	74
9949	76.75
9855	73
6929	78.5
7072	70.25
6039	91
870	72.5
9822	82
9652	64.25
5353	71
7296	84.25
9764	69.75
8366	78.33333333
9529	65
6927	73.5
9697	77.5
6192	95
9130	72.75
9793	62
9513	71.75
9744	78.75
5720	92
8264	65.5
9825	68.5
9985	71
9131	72.5
9856	75.25
6971	66.25
9699	74.25
6928	77.25
9737	85.75
9817	64.25
9749	74.75
9834	75
7061	87.25
9412	87.25
5893	73.75
7323	75.75
9837	76.33333333
6963	78.75
8307	79.25
1063	84
8325	77
9860	80.75
7356	88
9964	70
9519	77.25
9134	79.75
9391	85
8236	74
5993	82.5
9556	76.25
9845	77.5
7438	77.75
7342	83
10011	71
410	76
351	69.25
6904	72.25
5950	81.25
8259	88
9534	69.75
9833	75.75
7384	76.25
9617	70.75
7148	73.75
7058	87.25
9731	92.5
6897	68
9645	77.5
8241	90.75
9783	76.5
9559	56.75
9857	65.75
9658	71.33333333
7160	72.25
7064	68.33333333
9659	71.25
7248	71.5
9963	75
9960	82.5
5757	87.75
9595	80.5
9336	84
9705	71.33333333
9838	73.5
5779	90.5
9649	76.25
10005	76.66666667
9967	70
8132	74
9852	76.25
9057	87.5
9521	69.75
9133	73.25
9611	73.5
9944	75.75
9841	77.75
8243	80
424	83.25
1062	94
9713	75.25
9723	76
9979	82.5
7138	85.5
9739	86
9868	70.25
9930	75.75
8235	74.5
932	78
7523	80
7917	82.25
9644	76.75
9506	77.75
9969	68.75
9125	74
8233	75.5
5874	78
9628	78.5
5784	101.75
9663	69.75
1853	71.5
6976	71.25
9610	82.25
9703	76.5
2016	77.5
9835	81.75
8423	98.5
9547	79.25
9113	76
9626	77.33333333
7288	82.5
9704	75.5
9882	78.5
9662	80
7353	86
6938	72
9692	72
9818	79.5
5535	81.5
6396	82.75
7526	75.5
9895	75.75
9580	78.25
7102	87.25
9369	81.75
9612	86.5
9741	88
9655	79
9613	81.75
9683	64
9962	78
9115	91.25
9623	78.25
10016	89
770	75.25
9821	79.5
9702	81
9565	74.5
7307	78.5
8337	74
9976	79
6956	84.5
7351	97.33333333
9691	74
9707	80.5
9762	95.5
9750	69
9758	71.25
9826	77
10008	79.25
9955	80.5
9756	88.75
9600	89.5
9639	78
9927	87.75
9563	80.25
7515	73.75
9709	82
5151	81.75
9738	79
9935	79.25
6035	83
9938	67.25
9688	69
9100	77.5
7014	81.5
9735	85.5
9694	76.5
9624	79.5
9620	89.75
7320	80.75
9698	81
9629	98
9682	77.75
9876	87.25
8584	89
6115	97.5
9693	68.5
9743	79.5
9990	83.75
9413	86
