ID,Diameter,CL,Length,RL,RBN,FT10_mean
108,16.33333333,7.25,48.33333333,33,4.333333333,70
159,13.5,7,43.5,43.5,4.5,72
350,8.5,8.75,41.66666667,28,4.333333333,68.5
351,15,12.5,29.5,37.5,2,69.25
403,15,7.5,43,35.5,3,63.5
410,17.66666667,9,46.66666667,40.5,7.666666667,76
424,15.66666667,10.75,41.66666667,44.5,3.333333333,83.25
428,18,8.666666667,47.66666667,33.66666667,4,75.75
630,15,11.5,40,41,4,73.5
763,8,3,39.66666667,12,3,65.75
768,12,10.5,39,28,5,76.5
801,11,16.75,43.66666667,61,1.333333333,94.75
915,17.66666667,6.25,38.33333333,20,3.666666667,63.75
1002,18,13,50,77.75,0,102.75
1829,16.5,9.333333333,41.5,62,2,94.75
1890,14,10,45,45.25,4,101
1925,15.33333333,12,43.66666667,46,0.333333333,89.5
1954,17,13.5,48,50.25,10,93
2016,12,10,54.5,47.75,0,77.5
2171,16.5,15.5,46,54.25,0,79
2202,14,12.5,16,62.25,0,97.75
2276,20.33333333,13.5,44.66666667,59.5,1,83
2278,16,8.666666667,51,31,0,79.25
4807,10,15.33333333,48.66666667,62.75,2.333333333,79.75
4826,17,8.333333333,41,34.33333333,1.333333333,60
4884,12.5,10.33333333,42.66666667,32.25,5,70.25
4958,17.5,12.5,47.66666667,80.33333333,2,91.25
5023,16.66666667,7.25,46.33333333,23.25,2.333333333,61
5104,8.333333333,2.5,43.33333333,14.5,2,60
5210,16,12.66666667,48,52.5,6.333333333,96
5236,18.66666667,5.75,47.33333333,22.25,1.666666667,58.5
5276,15.5,8,29,26.25,0,74.5
5349,20,15.66666667,43,54.66666667,4.333333333,92
5353,10.66666667,9.5,41.33333333,44.25,5.666666667,71
5486,14,3.5,38,15,0,60.5
5644,16,5.5,48.33333333,20.5,4,60.75
5720,15.66666667,8.666666667,47.66666667,36.33333333,0.333333333,92
5726,18.33333333,7.25,43.33333333,30.25,4,74
5741,13.33333333,14.25,41.33333333,61.5,3.333333333,97.25
5772,18.33333333,8,62,28.75,6.666666667,66.75
5779,16,19.25,44.66666667,39.25,12,90.5
5784,14,13.25,43.33333333,39.75,7.333333333,101.75
5800,13.66666667,4,45,13.33333333,3.333333333,61.75
5811,18.5,7,39.5,24.5,0.666666667,72
5874,18,10.66666667,50,46.75,5,78
5890,16.33333333,9.75,35.5,33,4.666666667,78.25
5907,12,9.25,35.33333333,37,5.666666667,66.5
5921,13,9.25,27,44.25,6,82.5
5950,11,15.25,47,57.5,0,81.25
5984,15,5.25,41,21.75,6.333333333,66.75
5993,16,10.5,30,49,4,82.5
6008,16.66666667,7.25,31.33333333,23.25,2,73.5
6086,14,13.33333333,40,50,2,100.5
6111,22,16.33333333,51,61.33333333,0.5,111.75
6140,18,19,27,74.5,0,98.75
6198,15,9.5,45,43.5,3,88.25
6201,14,15,43,63.25,3,94.25
6296,13.66666667,7.666666667,43.66666667,26.25,7.333333333,75
6390,9.5,8.666666667,46.66666667,36,9,71.75
6434,10,4.666666667,40.66666667,14.5,1.333333333,62.75
6445,12,6.5,49,24.75,4.5,67
6680,12.5,16,44,72.66666667,6,99.25
6744,18,8.666666667,45,22.5,7.666666667,63.25
6900,15,11,37,82,0,116
6909,13,4,36,16,4,70.5
6970,16.66666667,7.5,48.66666667,34.75,7.333333333,62.5
6989,13.66666667,6.5,39.5,34.5,4.333333333,78.25
6992,10,6.75,38,27.25,3,68
7013,15.66666667,5.5,53.33333333,16.75,4.333333333,63
7028,10.33333333,5.25,41,19.5,5.333333333,57.5
7058,12.66666667,9.25,42,34.5,4.333333333,87.25
7067,10,7,40,20.25,6,58.75
7094,14.33333333,5.5,31,16,6.333333333,67.25
7102,15.33333333,12.5,39,59,2,87.25
7106,14,5.5,48.66666667,19.5,3.333333333,76.5
7119,12,7.25,36,20,4.5,65.5
7161,16,5,48.66666667,15.66666667,6.333333333,61.25
7164,13.5,7,46,40.75,4.666666667,69.75
7165,15.33333333,6.5,56.66666667,21.25,5.333333333,71.5
7169,14.66666667,19.75,33,51.75,2.666666667,82.5
7186,14,9.5,47,30.75,4,75
7202,13.5,4,51,15.25,5.666666667,63
7218,15.66666667,11.33333333,43.33333333,44,4.666666667,75
7231,9,5.333333333,29.66666667,17,4.333333333,65.75
7244,15,8.25,47.66666667,23.5,5.333333333,68
7250,13,3.75,51.5,11,7.5,58
