,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20
AAC,2,5,4,3,3,4,5,2,5,2,4,4,2,1,2,5,4,1,2,3
AAD,5,1,5,1,2,3,2,4,1,3,3,4,1,1,5,4,3,1,2,3
AAN,4,2,4,4,3,2,1,3,3,5,5,5,3,5,5,1,4,3,3,5
AAP,1,5,2,3,5,5,4,1,5,1,2,1,2,1,3,4,2,2,5,2
ABD,5,3,5,4,2,4,5,4,5,5,2,5,5,3,4,5,4,1,3,5
ADK,3,3,2,1,3,1,3,5,2,3,3,3,1,1,1,1,3,5,2,2
ADM,4,3,2,1,5,3,2,1,4,5,4,5,3,5,3,2,5,3,4,5
ADP,3,3,4,4,1,4,3,2,2,5,3,2,1,4,1,2,4,4,1,1
AEL,4,5,4,2,1,3,1,5,4,1,1,2,2,3,2,5,5,4,5,4
AEN,1,5,3,5,1,3,5,3,3,5,2,4,2,3,3,4,2,4,1,4
AEP,5,3,1,2,3,3,2,1,4,5,5,5,4,1,1,5,3,3,5,1
AEV,1,4,2,2,3,5,5,3,2,2,4,1,4,3,4,1,2,1,2,1
AFA,1,4,3,2,4,5,3,4,1,2,4,4,2,3,3,1,3,1,3,4
AFC,1,1,2,5,3,3,2,5,1,4,2,2,3,4,3,3,1,2,1,4
AFE,4,3,2,4,1,3,1,4,3,5,4,2,5,1,1,3,1,2,4,2
AFK,1,4,5,2,4,3,5,5,3,5,3,5,1,2,5,3,3,1,3,1
AFP,1,2,4,1,3,5,3,3,3,3,3,3,4,2,1,3,3,3,4,2
AFS,5,4,3,3,4,5,2,3,4,1,3,2,3,3,5,1,4,4,4,5
AFV,4,2,4,5,4,2,2,1,4,3,1,4,5,3,5,5,1,4,1,4
AGA,4,4,4,3,2,2,2,4,4,5,3,1,4,3,2,3,4,1,4,1
AGE,2,3,1,3,1,4,3,1,2,3,1,4,4,2,5,3,5,3,5,3
AGG,3,3,5,1,4,1,2,5,1,5,5,5,3,5,4,5,2,2,5,2
AGI,2,1,2,4,2,1,4,3,5,4,1,5,1,2,4,4,2,2,1,2
AHP,4,2,4,5,4,2,5,5,1,1,3,3,4,2,3,3,2,1,5,3
AID,3,2,5,1,3,4,2,3,4,2,2,3,2,3,5,1,5,2,1,5
AIF,4,2,5,4,5,2,4,2,3,1,4,1,5,5,2,4,3,2,2,4
AIK,3,1,2,5,4,4,1,3,1,3,4,1,2,5,2,5,2,2,5,4
AIL,5,4,5,1,3,3,1,4,1,4,2,2,2,4,2,3,3,5,1,1
AIN,4,2,4,2,5,4,3,4,2,5,1,1,4,3,2,4,1,4,4,3
AIP,2,5,5,3,1,1,2,3,4,2,4,4,1,1,5,1,5,5,5,5
AIQ,2,4,2,1,2,4,5,3,5,3,3,2,1,5,3,1,3,4,1,4
AIR,4,5,4,1,3,5,2,3,1,1,5,3,3,5,3,3,1,4,2,3
AIT,4,5,2,1,2,2,4,3,4,3,5,4,5,4,3,5,3,4,5,2
AKE,2,3,1,4,2,4,3,5,1,2,1,5,1,3,1,3,2,3,1,1
AKG,3,2,3,1,5,4,3,3,5,5,3,5,2,2,4,5,2,1,5,5
AKH,1,4,5,3,4,1,4,3,3,3,3,2,1,2,3,2,5,4,1,2
AKI,2,4,2,2,5,1,2,2,5,3,1,5,4,1,2,5,4,5,3,5
AKL,5,1,2,1,3,3,3,4,4,5,1,3,5,1,5,2,5,4,2,3
AKM,2,5,4,3,4,4,3,5,3,1,4,2,2,4,5,4,2,4,2,5
AKN,2,2,1,1,4,3,3,4,3,4,3,5,2,3,1,4,5,4,1,2
AKP,2,2,5,2,4,2,3,1,1,5,2,4,4,1,2,2,3,4,3,2
AKQ,2,3,2,5,4,3,4,1,3,4,4,1,4,1,1,5,4,5,2,3
AKS,3,2,1,2,1,4,5,3,3,1,4,3,5,2,4,1,4,4,3,5
AKT,5,2,2,5,2,1,4,3,4,4,3,2,4,5,1,4,3,3,5,1
AKV,2,4,2,2,1,2,4,5,4,1,3,3,5,5,3,2,1,3,3,1
ALA,4,4,1,4,5,1,1,1,2,5,3,5,1,5,1,3,2,5,4,2
ALC,5,2,4,5,4,4,1,4,5,1,4,4,5,1,5,1,5,1,2,1
ALD,4,5,2,3,2,5,1,4,3,4,4,2,4,3,2,3,3,5,4,3
ALE,4,3,3,1,4,4,4,2,3,1,1,1,1,4,1,3,3,1,4,1
ALG,4,5,3,5,3,1,3,5,3,1,4,4,5,4,1,5,2,3,5,2
ALH,4,2,3,4,5,1,2,2,1,4,3,5,4,3,5,1,4,1,2,2
ALI,3,1,3,3,5,3,4,5,4,1,2,2,4,1,3,4,1,5,4,2
ALK,3,3,4,4,1,1,1,3,1,2,4,3,4,4,5,1,1,3,2,5
ALL,1,1,1,1,4,2,5,3,2,1,2,5,4,4,5,3,3,2,4,3
ALN,3,3,1,2,5,1,4,2,3,2,4,1,4,3,4,1,1,1,5,5
ALS,5,3,2,2,2,4,3,1,5,5,1,4,3,2,4,4,3,2,3,5
ALT,2,1,2,3,5,5,4,4,1,2,2,4,5,4,1,3,2,2,4,5
AMB,1,1,1,5,4,1,5,5,2,5,5,4,2,4,4,2,3,3,3,5
AMC,1,4,5,3,2,3,4,5,2,2,4,5,2,1,2,3,4,1,3,4
AMD,2,3,2,2,3,5,4,2,5,2,5,5,2,4,2,2,3,2,2,1
AMH,3,4,4,1,3,2,1,4,2,1,1,2,2,4,3,4,2,2,3,3
AMM,5,5,2,2,1,5,2,5,3,2,4,1,1,4,1,2,3,2,1,1
AMP,1,2,1,4,2,2,1,5,2,2,4,2,5,4,2,5,3,1,2,2
