	Feature1	Feature2	Interaction
0	AT2G45660	AT1G65480	0.18794592999999998
1	AT2G45660	AT5G10140	0.128467499
4	AT2G45660	AT1G09530	0.09994160899999999
53	AT1G65480	Chr2_13978841	0.088245013
3	AT2G45660	Chr1_3873200	0.08283301400000001
74	AT5G10140	AT2G25930	0.077927825
30	AT1G65480	Chr5_18590743	0.075886756
19	AT2G45660	AT2G25930	0.057673532
29	AT1G65480	AT5G10140	0.05157263200000001
55	AT1G65480	GB_mCG_AT2G18915	0.050573498
31	AT1G65480	Chr1_3873200	0.041937866000000004
70	AT5G10140	Chr3_4067101	0.041394192
32	AT1G65480	AT1G09530	0.036460371000000005
37	AT1G65480	AT5G60910	0.034092118000000005
27	AT2G45660	GB_mCG_AT2G18915	0.032788092
33	AT1G65480	Chr5_25956134	0.032432295
34	AT1G65480	GB_mCG_AT2G18880	0.031594769
25	AT2G45660	Chr2_13978841	0.028833686
156	AT1G09530	Chr3_6550830	0.025579814
110	Chr1_3873200	AT1G09530	0.024448187
76	AT5G10140	Chr3_819810	0.024435494
26	AT2G45660	Chr3_6550830	0.024340486
43	AT1G65480	Chr3_4067101	0.024017027
12	AT2G45660	GB_mCG_AT5G63960	0.020259904
52	AT1G65480	AT4G09180	0.019848146
158	AT1G09530	GB_mCG_AT4G27910	0.018780106
18	AT2G45660	GB_mCG_AT2G27990	0.018126459999999997
86	Chr5_18590743	Chr5_25956134	0.017500268000000003
28	AT2G45660	GB_mCG_AT4G27910	0.01482497
38	AT1G65480	AT5G62165	0.014814655999999999
6	AT2G45660	GB_mCG_AT2G18880	0.014236232
9	AT2G45660	AT5G60910	0.014012446
16	AT2G45660	AT5G59570	0.013352125999999999
84	Chr5_18590743	Chr1_3873200	0.012955602
17	AT2G45660	GB_mCG_AT5G51820	0.012827096
304	GB_mCG_AT5G63960	GB_mCG_AT2G27990	0.012638392
44	AT1G65480	AT5G59570	0.01260212
24	AT2G45660	AT4G09180	0.012560616
10	AT2G45660	AT5G62165	0.01229297
111	Chr1_3873200	Chr5_25956134	0.011914698999999999
45	AT1G65480	GB_mCG_AT5G51820	0.011737112000000001
48	AT1G65480	Chr1_17830221	0.010911213
54	AT1G65480	Chr3_6550830	0.010743678000000001
49	AT1G65480	Chr3_819810	0.010455569000000001
40	AT1G65480	GB_mCG_AT5G63960	0.010008734
159	Chr5_25956134	GB_mCG_AT2G18880	0.009208108999999999
7	AT2G45660	Chr5_25984660	0.009068281000000001
2	AT2G45660	Chr5_18590743	0.008935928
192	GB_mCG_AT2G18880	GB_mCG_AT5G51820	0.008607489
15	AT2G45660	Chr3_4067101	0.008345825000000001
87	Chr5_18590743	GB_mCG_AT2G18880	0.008243617
23	AT2G45660	GB_mCG_AT5G64610	0.007878455
295	AT5G13790	Chr2_13978841	0.007487499999999999
39	AT1G65480	AT5G13790	0.006515557999999999
5	AT2G45660	Chr5_25956134	0.0063652280000000006
58	AT5G10140	Chr1_3873200	0.005783366999999999
393	AT2G25930	GB_mCG_AT5G64610	0.005424075
14	AT2G45660	Chr2_14992697	0.005098956
42	AT1G65480	Chr2_14992697	0.005053422
47	AT1G65480	AT2G25930	0.005021484
118	Chr1_3873200	GB_mCG_AT5G63960	0.00443306
253	AT5G60910	GB_mCG_AT2G27990	0.004408874
112	Chr1_3873200	GB_mCG_AT2G18880	0.00434848
93	Chr5_18590743	GB_mCG_AT5G63960	0.004264126
61	AT5G10140	GB_mCG_AT2G18880	0.003895555
51	AT1G65480	GB_mCG_AT5G64610	0.0038604779999999997
62	AT5G10140	Chr5_25984660	0.003458162
171	Chr5_25956134	GB_mCG_AT2G27990	0.003328928
201	GB_mCG_AT2G18880	Chr3_6550830	0.002843342
78	AT5G10140	GB_mCG_AT5G64610	0.0028046160000000002
91	Chr5_18590743	AT5G62165	0.0025956
11	AT2G45660	AT5G13790	0.00160437
297	AT5G13790	GB_mCG_AT2G18915	0.00160437
125	Chr1_3873200	AT2G25930	0.001574954
193	GB_mCG_AT2G18880	GB_mCG_AT2G27990	0.001451707
359	AT5G59570	AT2G25930	0.0012805989999999999
64	AT5G10140	AT5G60910	0.000863215
145	AT1G09530	Chr3_4067101	0.0008153460000000001
194	GB_mCG_AT2G18880	AT2G25930	0.0007558739999999999
46	AT1G65480	GB_mCG_AT2G27990	0.000657063
21	AT2G45660	Chr3_819810	0.000513344
72	AT5G10140	GB_mCG_AT5G51820	0.000273637
22	AT2G45660	GB_mCG_AT5G10140	0.00018999999999999998
69	AT5G10140	Chr2_14992697	0.00017348100000000001
162	Chr5_25956134	AT5G60910	0.0001402
107	Chr5_18590743	Chr3_6550830	0.0001178
85	Chr5_18590743	AT1G09530	0.00011440000000000002
60	AT5G10140	Chr5_25956134	5.720000000000001e-05
50	AT1G65480	GB_mCG_AT5G10140	5.72e-05
36	AT1G65480	AT3G57920	4.5799999999999995e-05
232	AT3G57920	AT5G59570	4.5799999999999995e-05
184	GB_mCG_AT2G18880	AT5G60910	4.44e-05
175	Chr5_25956134	GB_mCG_AT5G10140	3e-05
8	AT2G45660	AT3G57920	2.3199999999999998e-05
324	GB_mCG_AT2G46340	GB_mCG_AT5G64610	0.0
326	GB_mCG_AT2G46340	Chr2_13978841	0.0
267	AT5G62165	Chr2_14992697	0.0
325	GB_mCG_AT2G46340	AT4G09180	0.0
268	AT5G62165	Chr3_4067101	0.0
269	AT5G62165	AT5G59570	0.0
321	GB_mCG_AT2G46340	Chr1_17830221	0.0
323	GB_mCG_AT2G46340	GB_mCG_AT5G10140	0.0
322	GB_mCG_AT2G46340	Chr3_819810	0.0
328	GB_mCG_AT2G46340	GB_mCG_AT2G18915	0.0
320	GB_mCG_AT2G46340	AT2G25930	0.0
319	GB_mCG_AT2G46340	GB_mCG_AT2G27990	0.0
318	GB_mCG_AT2G46340	GB_mCG_AT5G51820	0.0
317	GB_mCG_AT2G46340	AT5G59570	0.0
316	GB_mCG_AT2G46340	Chr3_4067101	0.0
327	GB_mCG_AT2G46340	Chr3_6550830	0.0
283	AT5G13790	GB_mCG_AT2G46340	0.0
329	GB_mCG_AT2G46340	GB_mCG_AT4G27910	0.0
314	GB_mCG_AT5G63960	GB_mCG_AT4G27910	0.0
341	Chr2_14992697	Chr3_6550830	0.0
340	Chr2_14992697	Chr2_13978841	0.0
339	Chr2_14992697	AT4G09180	0.0
338	Chr2_14992697	GB_mCG_AT5G64610	0.0
337	Chr2_14992697	GB_mCG_AT5G10140	0.0
336	Chr2_14992697	Chr3_819810	0.0
335	Chr2_14992697	Chr1_17830221	0.0
264	AT5G62165	AT5G13790	0.0
265	AT5G62165	GB_mCG_AT5G63960	0.0
334	Chr2_14992697	AT2G25930	0.0
266	AT5G62165	GB_mCG_AT2G46340	0.0
333	Chr2_14992697	GB_mCG_AT2G27990	0.0
